,counts,words,translations
175,79530,tell,sag
176,78894,left,links
177,78429,put,setzen
178,77927,because,denn
179,76249,took,nahm
180,75854,look,schauen
181,75394,each,jeder
182,75280,why,warum
183,75188,called,genannt
184,74457,mind,geist
185,74378,father,vater
186,73451,thing,sache
187,73259,heart,herz
188,72791,looked,schaute
189,72403,having,mit
190,72346,room,zimmer
191,71960,set,setzen
192,70799,far,weit
193,70756,between,zwischen
194,70638,always,immer
195,70620,woman,frau
196,69614,full,voll
197,68545,side,seite
198,68541,works,arbeitet
199,67910,both,beide
200,67581,seemed,schien
201,67379,use,verwenden
202,67069,got,bekam
203,67016,heard,gehört
204,66897,thee,du
205,66883,whom,den
206,66298,something,etwas
207,66231,nor,noch
208,65289,done,getan
209,64815,mrs,frau
210,64672,days,tage
211,64573,going,gehen
212,63921,state,zustand
213,63606,asked,gefragt
214,63390,among,unter
215,62666,end,ende
216,62392,few,wenige
217,62189,find,finden
218,61629,better,besser
219,61581,seen,gesehen
220,61352,told,erzählt
221,61005,door,tür
222,60829,light,licht
223,60611,small,klein
224,60593,hands,hände
225,60540,words,worte
226,60536,knew,wusste
227,60277,half,halb
228,60145,used,verwendet
229,60001,water,wasser
230,58945,thus,so
231,58844,death,tod
232,58579,country,land
233,58371,mother,mutter
234,58289,enough,genug
235,58090,word,wort
236,57937,home,zuhause
237,57329,whole,ganz
238,57252,since,seit
239,57180,white,weiß
240,55969,son,sohn
241,55494,quite,ziemlich
242,55166,poor,arm
243,54571,myself,ich selbst
244,54511,soon,bald
245,54398,turned,wurde
246,54228,course,natürlich
247,54209,gave,gab
248,52539,lady,dame
249,52064,voice,stimme
250,51870,almost,fast
251,51751,want,wollen
252,51171,whose,deren
253,51055,within,innerhalb
254,50872,began,begann
255,50748,next,nächste
256,50610,round,runde
257,50596,brought,brachte
258,50307,cannot,kann nicht
259,50261,money,geld
260,50105,anything,etwas
261,50024,law,gesetz
262,50011,form,formular
263,49878,does,tut
264,49731,high,hoch
265,49713,kind,art
266,49476,power,macht
267,49442,together,zusammen
268,49326,however,jedoch
269,49286,stood,stand
270,49009,yes,ja
271,48950,general,allgemein
272,48326,perhaps,vielleicht
273,48283,air,luft
274,48234,children,kinder
275,48103,rather,eher
276,48085,until,bis
277,47998,certain,bestimmte
278,47942,true,wahr
279,47657,less,weniger
280,47547,morning,morgen
281,47222,till,bis
282,47179,best,beste
283,47121,electronic,elektronisch
284,47117,sea,meer
285,47084,others,andere
286,47030,dear,liebe
287,46757,given,gegeben
288,46696,miss,vermissen
289,46518,felt,gefühlt
290,46490,friend,freund
291,46387,hear,hören
292,46350,matter,angelegenheit
293,46322,keep,halten
294,45941,states,staaten
295,45683,terms,begriffe
296,45561,public,öffentlich
297,45169,themselves,sich
298,45046,year,jahr
299,44979,taken,genommen
300,44787,large,groß
301,44690,don't,nicht
302,44484,often,oft
303,44477,earth,erde
304,44218,body,körper
305,43993,cried,rief
306,43610,forth,hervor
307,43478,indeed,tatsächlich
308,43414,feet,füße
309,43302,hundred,hundert
310,43166,looking,suchen
311,43091,fire,feuer
312,43045,speak,sprechen
313,42880,above,über
314,42857,wife,frau
315,42700,four,vier
316,42699,black,schwarz
317,42662,alone,allein
318,42573,city,stadt
319,42515,gone,gegangen
320,42149,nature,natur
321,42086,second,zweite
322,42015,times,mal
323,41960,means,bedeutet
324,41841,herself,sich
325,41802,dead,tot
326,41203,foundation,stiftung
327,41077,open,öffnen
328,41048,read,lesen
329,41035,present,gegenwart
330,41002,near,bei
331,40996,five,fünf
332,40929,unto,an
333,40683,ye,ihr
334,40398,lay,legen
335,40388,girl,mädchen
336,40259,cf,vgl.
337,40213,point,punkt
338,40198,help,helfen
339,40043,child,kind
340,39973,therefore,deshalb
341,39816,red,rot
342,39697,case,fall
343,39675,known,bekannt
344,39614,leave,verlassen
345,39610,along,entlang
346,39485,held,gehalten
347,39470,sure,sicher
348,39419,passed,bestanden
349,39326,hope,hoffnung
350,39320,says,sagt
351,38939,manner,art und weise
352,38535,believe,glauben
353,38494,behind,hinter
354,38346,sent,gesendet
355,38099,replied,antwortete
356,37934,either,entweder
357,37924,order,bestellung
358,37725,women,frauen
359,37709,answered,antwortete
360,37681,free,frei
361,37597,thousand,tausend
362,37538,business,geschäft
363,37339,already,bereits
364,37321,boy,junge
365,37246,return,zurück
366,36933,call,anrufen
367,36888,war,krieg
368,36823,itself,selbst
369,36617,sat,saß
370,36529,hath,hat
371,36472,least,am wenigsten
372,36350,hour,stunde
373,36019,several,mehrere
374,36010,whether,ob
375,35923,fact,tatsache
376,35921,friends,freunde
377,35700,number,anzahl
378,35693,ground,grund
379,35441,live,leben
380,35293,lost,verloren
381,35034,soul,seele
382,35008,short,kurz
383,34835,united,vereinigt
384,34414,art,kunst
385,34222,fear,angst
386,33954,during,während
387,33746,received,erhalten
388,33746,master,meister
389,33736,arms,arme
390,33634,making,herstellung
391,33614,agreement,vereinbarung
392,33479,coming,kommen
393,33466,fell,fiel
394,33163,age,alter
395,33049,mean,bedeuten
396,32983,reason,grund
397,32949,none,keine
398,32942,turn,drehen
399,32914,hard,hart
400,32811,sometimes,manchmal
401,32805,town,stadt
402,32706,blood,blut
403,32660,wish,wunsch
404,32633,chapter,kapitel
405,32601,family,familie
406,32550,book,buch
407,32477,really,wirklich
408,32374,letter,brief
409,32112,hold,halten
410,32085,act,handeln
411,31937,strong,stark
412,31749,cause,verursachen
413,31660,bring,bringen
414,31660,become,werden
415,31639,truth,wahrheit
416,31570,bed,bett
417,31535,human,mensch
418,31531,horse,pferd
419,31495,dark,dunkel
420,31481,mine,mein
421,31225,became,wurde
422,31083,brother,bruder
423,31076,sun,sonne
424,31033,common,gemeinsam
425,30873,sight,anblick
426,30772,twenty,zwanzig
427,30709,table,tisch
428,30648,sense,sinn
429,30599,returned,zurück
430,30536,towards,zu
431,30495,sort,sortieren
432,30362,care,pflege
433,30346,around,um
434,30199,eye,auge
435,30171,ten,zehn
436,30044,close,schließen
437,30024,different,verschiedene
438,29867,english,englisch
439,29829,kept,gehalten
440,29797,answer,antwort
441,29787,spirit,geist
442,29751,government,regierung
443,29659,question,frage
444,29363,ask,fragen
445,29266,understand,verstehen
446,29262,feel,fühlen
447,29163,else,sonst
448,29140,suddenly,plötzlich
449,28879,show,zeigen
450,28837,evening,abend
451,28791,strange,seltsam
452,28712,force,kraft
453,28628,saying,sagen
454,28609,written,geschrieben
455,28542,sound,klingen
456,28518,talk,sprechen
457,28383,need,brauchen
458,28283,church,kirche
459,28281,laws,gesetze
460,28232,rate,satz
461,28138,river,fluss
462,28034,neither,weder
463,27996,subject,thema
464,27959,license,lizenz
465,27882,followed,gefolgt
466,27800,everything,alles
467,27548,able,möglich
468,27518,low,niedrig
469,27442,ready,bereit
470,27322,across,über
471,27193,line,leitung
472,27034,captain,kapitän
473,27030,court,gericht
474,26838,doubt,zweifel
475,26775,past,vergangenheit
476,26755,heaven,himmel
477,26753,stand,stehen
478,26750,possible,möglich
479,26739,story,geschichte
480,26712,pass,passieren
481,26646,copy,kopieren
482,26632,following,nach
483,26613,six,sechs
484,26576,donations,spenden
485,26575,toward,an
486,26574,fine,gut
487,26557,deep,tief
488,26515,hair,haar
489,26405,information,informationen
490,26315,service,dienstleistung
491,26241,street,straße
492,26119,idea,idee
493,26114,daughter,tochter
494,26094,natural,natürlich
495,26094,change,ändern
496,26023,spoke,sprach
497,26013,except,außer
498,25974,fellow,kollege
499,25897,longer,mehr
500,25782,literary,literarisch
501,25679,cold,kalt
502,25656,including,einschließlich
503,25530,remember,erinnern
504,25473,beautiful,schön
505,25468,fall,herbst
506,25372,beyond,jenseits
507,25352,note,hinweis
508,25351,paid,bezahlt
509,25224,self,selbst
510,25220,cut,schnitt
511,25159,happy,glücklich
512,25084,living,leben
513,25002,run,laufen
514,24998,appeared,erschienen
515,24859,road,straße
516,24728,early,früh
517,24694,later,später
518,24681,taking,nehmen
519,24667,purpose,zweck
520,24637,enter,eingeben
521,24588,seems,scheint
522,24575,meet,treffen
523,24512,character,charakter
524,24484,south,süd
525,24403,it's,es ist
526,24391,please,bitte
527,24389,big,groß
528,24368,peace,frieden
529,24328,interest,interesse
530,24262,further,weiter
531,24244,below,unter
532,24218,chief,chef
533,24022,office,büro
534,24017,husband,ehemann
535,24006,window,fenster
536,23988,continued,fortsetzung
537,23902,suppose,vermuten
538,23883,tree,baum
539,23792,clear,klar
540,23788,foot,fuß
541,23779,prince,fürst
542,23765,especially,besonders
543,23746,sweet,süß
544,23702,carried,getragen
545,23654,hours,stunden
546,23610,comes,kommt
547,23606,bear,tragen
548,23563,charge,laden
549,23420,company,unternehmen
550,23379,account,konto
551,23331,green,grün
552,23264,nearly,fast
553,23101,knowledge,wissen
554,23088,etc,usw.
555,22947,paper,papier
556,22831,late,spät
557,22677,led,geführt
558,22674,seem,scheinen
559,22672,view,ansehen
560,22669,ought,sollte
561,22560,play,spielen
562,22525,ill,krank
563,22464,history,geschichte
564,22457,pretty,ziemlich
565,22396,archive,archiv
566,22360,north,nord
567,22358,reached,erreicht
568,22357,opened,geöffnet
569,22313,feeling,gefühl
570,22299,forward,vorwärts
571,22275,front,vorderseite
572,22197,added,hinzugefügt
573,22149,silence,stille
574,22104,trees,bäume
575,22079,laid,gelegt
576,22017,blue,blau
577,21907,pay,zahlen
578,21865,certainly,sicher
579,21784,makes,macht
580,21747,according,laut
581,21723,wanted,gesucht
582,21691,pleasure,vergnügen
583,21630,yourself,sich
584,21615,sleep,schlafen
585,21579,future,zukunft
586,21361,mouth,mund
587,21277,entered,eingegeben
588,21225,doing,tun
589,21221,strength,stärke
590,21216,position,stellung
591,21196,ran,lief
592,21143,books,bücher
593,21100,i'll,ich werde
594,21007,tried,versucht
595,20967,agree,zustimmen
596,20865,necessary,notwendig
597,20799,plain,einfach
598,20770,french,französisch
599,20756,army,armee
600,20739,lived,lebte
601,20636,send,senden
602,20602,ship,schiff
603,20501,save,retten
604,20382,unless,außer
605,20353,american,amerikanisch
606,20337,outside,außerhalb
607,20308,desire,wunsch
608,20281,born,geboren
609,20274,wall,wand
610,20163,evil,böse
611,20154,follow,folgen
612,20116,queen,königin
613,20067,stone,stein
614,20016,although,obwohl
615,19998,third,dritte
616,19972,access,zugang
617,19949,lips,lippen
618,19937,various,verschiedene
619,19933,died,gestorben
620,19925,miles,meilen
621,19725,paragraph,absatz
622,19713,heavy,schwer
623,19711,shak,schütteln
624,19622,food,essen
625,19591,try,versuchen
626,19582,wood,holz
627,19580,doctor,arzt
628,19571,trademark,marke
629,19551,effect,wirkung
630,19419,particular,besondere
631,19382,easy,einfach
632,19320,language,sprache
633,19313,walked,gelaufen
634,19288,i'm,ich bin
635,19282,length,länge
636,19187,secret,geheim
637,19069,rich,reich
638,19064,happened,geschehen
639,19008,france,frankreich
640,19008,single,einzeln
641,18956,distance,entfernung
642,18875,total,gesamt
643,18873,glad,froh
644,18865,thinking,denken
645,18818,seven,sieben
646,18788,hat,hut
647,18784,beauty,schönheit
648,18773,drew,gezeichnet
649,18769,broken,gebrochen
650,18765,instead,stattdessen
651,18760,sister,schwester
652,18738,society,gesellschaft
653,18703,faith,glaube
654,18677,horses,pferde
655,18661,walk,spaziergang
656,18646,beginning,anfang
657,18643,thoughts,gedanken
658,18623,wrong,falsch
659,18576,stay,bleiben
660,18532,action,aktion
661,18518,trouble,schwierigkeiten
662,18466,afraid,angst
663,18460,attention,aufmerksamkeit
664,18453,standing,stehen
665,18435,greater,mehr
666,18434,seeing,sehen
667,18391,knows,weiß
668,18259,school,schule
669,18237,important,wichtig
670,18173,struck,schlug
671,18157,remained,geblieben
672,18120,writing,schreiben
673,18117,noble,edel
674,18093,smile,lächeln
675,18017,receive,erhalten
676,18015,probably,wahrscheinlich
677,18014,parts,teile
678,17972,youth,jugend
679,17958,bound,gebunden
680,17917,joy,freude
681,17905,object,objekt
682,17895,slowly,langsam
683,17893,refund,erstattung
684,17842,persons,personen
685,17800,chair,stuhl
686,17785,minutes,minuten
687,17774,field,feld
688,17756,tears,tränen
689,17711,battle,schlacht
690,17701,top,spitze
691,17692,iron,eisen
692,17665,placed,gestellt
693,17653,filled,gefüllt
694,17618,middle,mitte
695,17591,ago,vor
696,17590,scene,szene
697,17549,whatever,was auch immer
698,17545,opinion,meinung
699,17437,population,bevölkerung
700,17436,bright,hell
701,17331,presence,anwesenheit
702,17305,figure,abbildung
703,17291,stopped,gestoppt
704,17273,caught,gefangen
705,17250,fight,kampf
706,17199,wide,weit
707,17136,produced,produziert
708,17100,piece,stück
709,17080,write,schreiben
710,17055,wonder,wunder
711,17027,married,verheiratet
712,17018,visit,besuchen
713,17016,ancient,alt
714,17015,notice,merken
715,16972,carry,tragen
716,16964,cast,gießen
717,16938,garden,garten
718,16921,deal,handeln
719,16915,sit,sitzen
720,16875,wait,warten
721,16868,loved,geliebt
722,16864,sword,schwert
723,16803,cry,weinen
724,16802,holy,heilig
725,16640,months,monate
726,16633,property,eigentum
727,16629,beside,neben
728,16606,appearance,aussehen
729,16601,provide,bieten
730,16601,enemy,feind
731,16588,hardly,kaum
732,16566,glass,glas
733,16559,justice,justiz
734,16517,hence,daher
735,16496,east,ost
736,16480,spring,frühling
737,16464,lie,liegen
738,16456,appear,erscheinen
739,16388,sitting,sitzend
740,16371,showed,zeigte
741,16358,dream,traum
742,16341,letters,buchstaben
743,16338,immediately,sofort
744,16328,grew,wuchs
745,16323,associated,verbunden
746,16301,support,unterstützung
747,16295,thirty,dreißig
748,16256,watch,uhr
749,16249,species,arten
750,16244,floor,boden
751,16230,simple,einfach
752,16222,hall,halle
753,16212,moved,bewegt
754,16174,exclaimed,rief
755,16166,places,orte
756,16148,eat,essen
757,16102,quiet,ruhig
758,16035,latter,letzteres
759,16035,besides,neben
760,16034,easily,leicht
761,16012,start,starten
762,15993,condition,zustand
763,15979,dinner,abendessen
764,15948,worth,wert
765,15935,duty,pflicht
766,15918,danger,gefahr
767,15889,individual,individuell
768,15874,silent,still
769,15870,week,woche
770,15869,raised,gesammelt
771,15826,silver,silber
772,15823,section,sektion
773,15803,getting,erhalten
774,15797,covered,abgedeckt
775,15718,quickly,schnell
776,15700,straight,gerade
777,15652,grace,anmut
778,15632,fee,gebühr
779,15618,sudden,plötzlich
780,15611,hot,heiß
781,15607,learned,gelernt
782,15596,expression,ausdruck
783,15579,that's,das ist
784,15563,lives,lebt
785,15538,march,märz
786,15527,corner,ecke
787,15518,honour,ehren
788,15478,duke,herzog
789,15460,permission,erlaubnis
790,15458,island,insel
791,15452,impossible,unmöglich
792,15425,speaking,sprechen
793,15413,beneath,unter
794,15395,former,ehemalige
795,15386,wise,weise
796,15379,waiting,warten
797,15351,drink,trinken
798,15321,servant,diener
799,15296,turning,drehen
800,15266,laughed,lachte
801,15194,giving,geben
802,15172,boys,jungen
803,15172,experience,erleben
804,15166,direction,richtung
805,15120,won,gewonnen
806,15119,ways,wege
807,15118,influence,einfluss
808,15112,cross,kreuz
809,15049,usually,gewöhnlich
810,15043,dog,hund
811,14981,fresh,frisch
812,14945,news,nachrichten
813,14943,boat,boot
814,14906,music,musik
815,14866,started,gestartet
816,14835,copies,kopien
817,14797,respect,respekt
818,14767,race,rennen
819,14761,leaves,blätter
820,14706,discovered,entdeckt
821,14706,step,schritt
822,14689,tone,ton
823,14680,uncle,onkel
824,14676,fast,schnell
825,14637,roman,römisch
826,14593,eight,acht
827,14561,military,militär
828,14555,sons,söhne
829,14494,marriage,heirat
830,14482,private,gefreiter
831,14472,afterwards,danach
832,14457,brown,braun
833,14454,merely,lediglich
834,14438,pray,beten
835,14420,lead,blei
836,14408,houses,häuser
837,14365,provided,bereitgestellt
838,14346,page,seite
839,14330,yellow,gelb
840,14325,mere,nur
841,14322,goes,geht
842,14319,break,pause
843,14317,speech,rede
844,14271,formed,gebildet
845,14249,learn,lernen
846,14240,remain,bleiben
847,14233,flowers,blumen
848,14217,usual,üblich
849,14214,sky,himmel
850,14206,wine,wein
851,14187,royal,königlich
852,14184,period,zeitraum
853,14179,reading,lesen
854,14163,soft,weich
855,14160,pain,schmerz
856,14134,observed,beobachtet
857,14120,breath,atem
858,14088,behold,siehe
859,14079,can't,kann nicht
860,14076,stop,aufhören
861,13988,non,nicht
862,13956,walls,mauern
863,13949,command,befehl
864,13939,result,ergebnis
865,13898,meant,gemeint
866,13896,surface,oberfläche
867,13895,closed,geschlossen
868,13894,leaving,und hinterließ
869,13856,broke,kaputt
870,13853,judge,richter
871,13853,occasion,anlass
872,13800,forest,wald
873,13743,cost,kosten
874,13738,saint,heilig
875,13726,perfect,perfekt
876,13699,morrow,morgen
877,13697,summer,sommer
878,13696,talking,sprechen
879,13694,lower,unter
880,13687,value,wert
881,13686,political,politisch
882,13671,president,präsident
883,13664,reach,erreichen
884,13654,due,aufgrund
885,13653,circumstances,umstände
886,13647,class,klasse
887,13638,limited,begrenzt
888,13628,effort,aufwand
889,13617,lot,los
890,13604,anyone,jeder
891,13585,knight,ritter
892,13576,fifty,fünfzig
893,13568,hill,hügel
894,13567,presently,gegenwärtig
895,13565,ears,ohren
896,13551,generally,allgemein
897,13550,using,mit
898,13506,gate,tor
899,13476,ear,ohr
900,13447,lines,leinen
901,13445,fish,fisch
902,13440,fit,passen
903,13422,passing,vorbei
904,13400,trust,vertrauen
905,13398,footnote,fußnote
906,13379,escape,entkommen
907,13375,expected,erwartet
908,13373,drawn,gezeichnet
909,13359,dress,kleid
910,13352,imp,kobold
911,13342,pale,blass
912,13340,village,dorf
913,13323,century,jahrhundert
914,13321,social,sozial
915,13305,shalt,soll
916,13280,date,datum
917,13277,tax,steuer
918,13268,somewhat,etwas
919,13266,darkness,dunkelheit
920,13266,fixed,fest
921,13258,move,umziehen
922,13256,rise,aufstieg
923,13252,europe,europa
924,13250,considered,betrachtet
925,13231,game,spiel
926,13229,running,laufen
927,13206,spoken,gesprochen
928,13200,count,zählen
929,13197,conversation,gespräch
930,13194,steps,schritte
931,13180,equal,gleich
932,13170,month,monat
933,13145,worse,schlechter
934,13120,begin,beginnen
935,13090,study,studieren
936,13058,christian,christlich
937,13054,science,wissenschaft
938,13052,looks,schaut
939,13051,main,haupt
940,13044,touch,berühren
941,13013,ladies,damen
942,13001,space,raum
943,12999,considerable,beachtlich
944,12997,grave,grab
945,12996,changed,verändert
946,12993,success,erfolg
947,12976,possession,besitz
948,12950,entirely,vollständig
949,12940,scarcely,knapp
950,12936,neck,hals
951,12936,terrible,schrecklich
952,12869,instant,sofort
953,12868,stranger,fremd
954,12856,journey,reise
955,12856,clothes,kleidung
956,12854,indian,indisch
957,12847,keeping,halten
958,12838,distribution,vertrieb
959,12836,marry,heiraten
960,12829,picture,bild
961,12822,shot,schuss
962,12795,names,namen
963,12777,memory,erinnerung
964,12735,sign,zeichen
965,12725,board,tafel
966,12724,medium,mittel
967,12711,mountains,berge
968,12710,laugh,lachen
969,12706,trying,versuchen
970,12683,aside,beiseite
971,12676,heads,köpfe
972,12667,bird,vogel
973,12659,mountain,berg
974,12630,authority,behörde
975,12625,lying,lügen
976,12623,forget,vergessen
977,12608,pertaining,zugehörig
978,12604,supposed,angeblich
979,12602,tongue,zunge
980,12593,afternoon,nachmittag
981,12589,happiness,glück
982,12581,machine,maschine
983,12577,quick,schnell
984,12570,capital,hauptstadt
985,12555,owner,besitzer
986,12539,arrived,angekommen
987,12529,song,lied
988,12516,moon,mond
989,12511,soldiers,soldaten
990,12504,female,weiblich
991,12501,finally,endlich
992,12498,takes,nimmt
993,12462,america,amerika
994,12442,example,beispiel
995,12427,gods,götter
996,12419,spread,verbreiten
997,12419,emperor,kaiser
998,12413,greatest,größte
999,12393,golden,goldene
1000,12363,named,genannt
1001,12360,rome,rom
1002,12358,girls,mädchen
1003,12354,passage,durchgang
1004,12327,wished,wünschte
1005,12284,prepared,vorbereitet
1006,12255,pride,stolz
1007,12232,simply,einfach
1008,12217,didn't,hat nicht
1009,12213,quality,qualität
1010,12213,grass,gras
1011,12198,fool,täuschen
1012,12198,thank,danke
1013,12188,wrote,schrieb
1014,12181,group,gruppe
1015,12181,distributing,vertreibt
1016,12180,mighty,mächtig
1017,12176,birth,geburt
1018,12173,surprise,überraschung
1019,12163,distribute,verteilen
1020,12157,shook,geschüttelt
1021,12153,official,offiziell
1022,12146,gentlemen,herren
1023,12142,vain,eitel
1024,12125,kill,töten
1025,12122,understood,verstanden
1026,12116,regard,betrachten
1027,12108,degree,grad
1028,12088,dry,trocken
1029,12084,false,falsch
1030,12063,shut,schließen
1031,12039,opportunity,gelegenheit
1032,12029,safe,sicher
1033,12029,proper,richtig
1034,12010,difficult,schwierig
1035,11992,courage,mut
1036,11986,surely,sicher
1037,11984,meaning,bedeutung
1038,11979,birds,vögel
1039,11978,working,arbeiten
1040,11974,killed,getötet
1041,11960,likely,wahrscheinlich
1042,11937,offered,angeboten
1043,11936,special,speziell
1044,11914,sharp,scharf
1045,11904,passion,leidenschaft
1046,11876,glory,ruhm
1047,11870,rock,rocken
1048,11866,existence,existenz
1049,11845,labor,arbeit
1050,11843,seat,sitz
1051,11828,efforts,bemühungen
1052,11819,lies,liegt
1053,11813,built,gebaut
1054,11797,sin,sündigt
1055,11780,trade,handel
1056,11776,twelve,zwölf
1057,11775,allowed,erlaubt
1058,11770,forty,vierzig
1059,11762,spot,punkt
1060,11748,gray,grau
1061,11737,pleasant,angenehm
1062,11730,loss,verlust
1063,11720,mission,auftrag
1064,11714,opposite,gegenüber
1065,11689,seek,suchen
1066,11687,marked,markiert
1067,11687,creature,geschöpf
1068,11679,higher,höher
1069,11674,broad,breit
1070,11663,repeated,wiederholt
1071,11641,worthy,würdig
1072,11632,native,einheimisch
1073,11613,path,pfad
1074,11603,complete,vollständig
1075,11602,bread,brot
1076,11592,lose,verlieren
1077,11587,growth,wachstum
1078,11582,cases,fälle
1079,11575,threw,warf
1080,11567,countries,länder
1081,11559,forms,formen
1082,11546,allow,ermöglichen
1083,11541,train,zug
1084,11537,narrow,eng
1085,11527,ourselves,uns
1086,11494,blow,blasen
1087,11493,drawing,zeichnen
1088,11480,perfectly,perfekt
1089,11472,shore,ufer
1090,11465,believed,geglaubt
1091,11450,fallen,gefallen
1092,11442,wonderful,wunderbar
1093,11434,physical,physisch
1094,11427,share,anteil
1095,11422,members,mitglieder
1096,11416,personal,persönlich
1097,11414,promise,versprechen
1098,11401,concerning,betreffend
1099,11396,aunt,tante
1100,11357,rain,regen
1101,11336,freely,frei
1102,11332,servants,diener
1103,11323,christ,christus
1104,11298,pleased,erfreut
1105,11292,honest,ehrlich
1106,11279,breast,brust
1107,11277,ocean,ozean
1108,11273,crowd,menge
1109,11265,glance,blick
1110,11251,required,erforderlich
1111,11250,search,suche
1112,11247,draw,zeichnen
1113,11240,attempt,versuchen
1114,11225,difficulty,schwierigkeit
1115,11217,matters,angelegenheiten
1116,11216,honor,ehre
1117,11209,proud,stolz
1118,11196,gentle,sanft
1119,11175,serve,dienen
1120,11169,devil,teuflisch
1121,11166,health,gesundheit
1122,11165,dropped,fallen gelassen
1123,11161,serious,ernsthafte
1124,11155,snow,schnee
1125,11150,offer,angebot
1126,11149,weight,gewicht
1127,11126,sick,krank
1128,11102,yours,ihr
1129,11101,fancy,schick
1130,11089,sorry,entschuldigung
1131,11086,directly,direkt
1132,11079,exactly,genau
1133,11075,removed,entfernt
1134,11070,ideas,ideen
1135,11050,shoulder,schulter
1136,11044,nay,nein
1137,11039,animal,tier
1138,11035,volunteers,freiwillige
1139,11033,reply,antwort
1140,11026,sad,traurig
1141,11013,spite,trotz
1142,11013,determined,entschlossen
1143,11010,grand,großartig
1144,11007,similar,ähnlich
1145,11005,curious,neugierig
1146,11003,didn,nicht
1147,11002,bottom,boden
1148,10995,meeting,treffen
1149,10995,flesh,fleisch
1150,10993,aid,hilfe
1151,10979,contact,kontakt
1152,10973,pocket,tasche
1153,10966,accepted,akzeptiert
1154,10964,palace,palast
1155,10959,watched,beobachtet
1156,10945,movement,bewegung
1157,10937,rising,steigend
1158,10935,guard,wache
1159,10935,fly,fliege
1160,10926,spent,verbraucht
1161,10911,knowing,wissen
