,translations
601,Geschichte
602,hübsch
603,Archiv
604,Norden
605,erreicht
606,geöffnet
607,Gefühl
608,weiter
609,Vorderseite
610,hinzugefügt.
611,Schweigen
612,km
613,Bäume
614,gelegt
615,wild
616,blau
617,bezahlen.
618,sicherlich
619,macht
620,gemäß
621,gesucht
622,Vergnügen
623,selbst
624,schlafen
625,Zukunft
626,Mund
627,eingegeben
628,
629,Stärke
630,Position
631,lief
632,Bücher
633,Ich werde
634,org
635,versucht
636,zustimmen
637,st
638,erforderlich
639,System
640,
641,einfach
642,französisch
643,Armee
644,gelebt
645,senden.
646,Schiff
647,speichern
648,per
649,"es sei denn,"
650,amerikanisch
651,außerhalb
652,Wunsch
653,geboren
654,Wand
655,böse
656,folgen
657,Königin
658,Stein
659,obwohl
660,
661,Chance
662,Zugang
663,Lippen
664,verschiedene
665,gestorben
666,Meilen
667,Absatz
668,schwer
669,schütteln
670,
671,Versuchen Sie
672,Holz
673,Doktor
674,Marke
675,Wirkung
676,ebook
677,besondere
678,einfach
679,Sprache
680,zu Fuß
681,Ich bin
682,Länge
683,geheim
684,reich
685,geschehen
686,frankreich
687,einzeln
688,Entfernung
689,
690,insgesamt
691,froh
692,Denken
693,ah
694,sieben
695,Hut
696,Schönheit
697,
698,gebrochen
699,stattdessen
700,Schwester
701,Gesellschaft
702,Glaube
703,Pferde
704,Spaziergang
705,Anfang
706,Gedanken
707,falsch
708,national
709,
710,Aktion
711,Probleme
712,Angst
713,Achtung
714,stehend
715,mehr
716,siehe
717,kennt
718,Schule
719,wichtig
720,angeschlagen
721,blieb
722,Schreiben
723,edel
724,ve
725,Lächeln
726,erhalten
727,
728,Teile
729,Jugend
730,gebunden
731,que
732,Freude
733,Objekt
734,langsam
735,Erstattung
736,Personen
737,Stuhl
738,Minuten
739,Feld
740,Tränen
741,Schlacht
742,top
743,Eisen
744,platziert
745,gefüllt
746,Mitte
747,vor
748,
749,was auch immer
750,Stellungnahme
751,Bevölkerung
752,hell
753,Präsenz
754,Abbildung
755,gestoppt
756,gefangen
757,Kampf
758,breit
759,hergestellt
760,Stück
761,schreiben.
762,Wunder
763,Bot
764,verheiratet
765,besuchen Sie
766,alt
767,Hinweis
768,tragen
769,gießen
770,Garten
771,Angebot
772,sitzen
773,warten
774,liebte
775,Schwert
776,paris
777,weinen
778,heilige
779,
780,Glück
781,Monate
782,Eigenschaft
783,neben
784,Aussehen
785,
786,Feind
787,Dr.
788,kaum
789,Glas
790,
791,
792,
793,Feder
794,liegen
795,erscheinen
796,
797,sitzend
798,zeigte
799,Traum
800,Buchstaben
801,
802,
803,zugehörig
804,
805,dreißig
806,Uhr
807,Arten
808,Boden
809,einfach
810,Halle
811,umgezogen
812,
813,Orte
814,essen
815,Original
816,un
817,leise
818,Madame
819,al
820,letztere
821,neben
822,einfach
823,Start
824,Zustand
825,Abendessen
826,wert
827,Zoll
828,Gefahr
829,individuell
830,still
831,Woche
832,erhöht
833,Millionen
834,Silber
835,Abschnitt
836,unter
837,überdacht
838,sb
839,schnell
840,
841,Herr
842,'i
843,Gnade
844,
845,
846,heiß
847,gelernt
848,Domain
849,Ausdruck
850,hast
851,das ist
852,lebt
853,März
854,ii
855,zo
856,Ecke
857,Ehre
858,Herzog
859,Genehmigung
860,Insel
861,unmöglich
862,Sprechen
863,unter
864,ehemals
865,weise
866,
867,trinken
868,Diener
869,Drehen
870,york
871,lachte
872,Geben
873,Jungen
874,erleben
875,Richtung
876,gewonnen.
877,Wege
878,Einfluss
879,Kreuz
880,in der Regel
881,Hund
882,frisch
883,Nachrichten
884,Boot
885,Musik
886,gestartet
887,Kopien
888,
889,Rennen
890,Blätter
891,entdeckt
892,Schritt
893,Ton
894,Onkel
895,schnell
896,romanisch
897,acht
898,Militär
899,Söhne
900,Ehe
901,privat
902,danach
903,pr
904,
905,lediglich
906,beten
907,Blei
908,Box
909,Häuser
910,Sand
911,bereitgestellt
912,
913,gelb
914,nur
915,geht
916,Pause
917,Rede
918,gebildet
919,lernen
920,bleiben
921,Blumen
922,üblich
923,
924,Wein
925,il
926,königlich
927,Zeitraum
928,Lesen
929,weich
930,Schmerzen
931,beobachtet
932,Atem
933,israel
934,siehe
935,
936,stoppen
937,nicht
938,Wände
939,Befehl
940,bit
941,Ergebnis
942,bedeutete
943,Oberfläche
944,geschlossen
945,
946,kaputt
947,Richter
948,Anlass
949,
950,Kosten
951,heilige
952,
953,morrow
954,Sommer
955,sprechend
956,unter
957,Wert
958,politisch
959,Präsident
960,erreichen.
961,fällig
962,
963,Klasse
964,begrenzt
965,Aufwand
966,Los
967,jeder
968,ritter
969,fünfzig
970,Hügel
971,Zurzeit
972,Ohren
973,
974,allgemein
975,mit
976,Tor
977,Ohr
978,Zeilen
979,Fisch
980,
981,vorbei an
982,Vertrauen
983,
984,Bank
985,
986,erwartet
987,gezeichnet
988,Kleid
989,imp
990,blass
991,Dorf
992,Jahrhundert
993,sozial
994,soll
995,Datum
996,Steuer
997,
998,etwas
999,
1000,fest
1001,umziehen
1002,aufsteigen
1003,europa
1004,als
1005,Lager
1006,Spiel
1007,läuft
1008,mark
1009,gesprochen
1010,zählen
1011,Gespräch
1012,Schritte
1013,gleich
1014,
1015,schlechter
1016,henry
1017,beginnen
1018,Studie
1019,christlich
1020,Wissenschaft
1021,siehe
1022,Haupt
1023,berühren.
1024,Sake
1025,Damen
1026,george
1027,Raum
1028,beachtlich
1029,Grab
1030,geändert
1031,Erfolg
1032,mary
1033,Besitz
1034,vollständig
1035,kaum
1036,Nacken
1037,
1038,sofort
1039,Fremde
1040,Reise
1041,Kleidung
1042,indisch
1043,unter
1044,Vertrieb
1045,adv
1046,heiraten
1047,
1048,Schuss
1049,
1050,Namen
1051,Speicher
1052,Zeichen
1053,modern
1054,Vorstand
1055,mittel
1056,Berge
1057,lachen
1058,Versuch
1059,beiseite
1060,Köpfe
1061,ebooks
1062,Vogel
1063,Berg
1064,Behörde
1065,liegend
1066,vergessen
1067,zugehörig
1068,angeblich
1069,Zunge
1070,Nachmittag
1071,Glück
1072,Maschine
1073,schnell
1074,Kapital
1075,Winter
1076,
1077,angekommen
1078,Lied
1079,Mond
1080,Soldaten
1081,weiblich
1082,schließlich
1083,nimmt
1084,amerika
1085,pl
1086,Beispiel
1087,Götter
1088,Verbreitung
1089,Kaiser
1090,größte
1091,goldene
1092,namens
1093,"""i"
1094,Rom
1095,Mädchen
1096,Durchgang
1097,wünschte
1098,vorbereitet
1099,william
1100,Religion
1101,Stolz
1102,einfach
1103,hat nicht
1104,Qualität
1105,Gras
1106,Narr
1107,danke
1108,schrieb
1109,
1110,Verteilen
1111,mächtig
1112,Geburt
1113,
1114,vertreiben
1115,schüttelte
1116,offiziell
1117,Herren
1118,
1119,töten
1120,
1121,siehe
1122,Grad
1123,trocken
1124,falsch
1125,schließen
1126,Gelegenheit
1127,sicher
1128,richtig
1129,schwierig
1130,Mut
1131,sicher
1132,Bedeutung
1133,Vögel
1134,arbeiten
1135,getötet
1136,wahrscheinlich
1137,angeboten
1138,Spezial
1139,
1140,scharf
1141,Leidenschaft
1142,Ruhm
1143,Felsen
1144,Existenz
1145,
1146,Sitz
1147,Bemühungen
1148,liegt
1149,gebaut
1150,Sünde
1151,doth
1152,Handel
1153,zwölf
1154,erlaubt
1155,vierzig
1156,Punkt
1157,grau
1158,angenehm
1159,Verlust
1160,david
1161,Mission
1162,gegenüber
1163,suchen.
1164,markiert
1165,Lebewesen
1166,höher
1167,breit
1168,wiederholt
1169,
1170,einheimische
1171,www
1172,Pfad
1173,vollständig
1174,Brot
1175,verlieren
1176,Wachstum
1177,Fälle
1178,warf
1179,Länder
1180,Formulare
1181,ermöglichen
1182,Zug
1183,schmal
1184,uns selbst
1185,
1186,blasen
1187,
1188,perfekt
1189,
1190,glaubte
1191,gefallen
1192,wunderbar
1193,legal
1194,physisch
1195,Aktie
1196,Mitglieder
1197,Nation
1198,persönlich
1199,Versprechen
1200,betreffend
1201,Tante
1202,Regen
1203,frei
1204,Dienerschaft
1205,christ
1206,zufrieden
1207,ehrlich
1208,Brust
1209,Meer
1210,
1211,Blick
1212,Web
1213,
1214,Suche
1215,zeichnen
1216,Versuch
1217,
1218,Schwierigkeit
1219,Angelegenheiten
1220,ehren
1221,stolz
1222,sanft
1223,dienen
1224,Teufel
1225,Gesundheit
1226,fallen gelassen
1227,seriös
1228,Schnee
1229,
1230,Gewicht
1231,krank
1232,
1233,schick
1234,Entschuldigung
1235,direkt
1236,genau
1237,entfernt
1238,
1239,Schulter
1240,nein
1241,Tier
1242,Freiwillige
1243,Antwort
1244,
1245,Trotz
1246,bestimmt
1247,großartig
1248,ähnlich
1249,neugierig
1250,hat
1251,unten
1252,Treffen
1253,
1254,Hilfe
1255,Kontakt
1256,Tasche
1257,akzeptiert
1258,Palast
1259,beobachtet
1260,Bewegung
1261,Beitrag
1262,steigend
1263,ne
1264,Wache
1265,Fliege
1266,ausgegeben
1267,pglaf
1268,wissen
1269,Gebäude
1270,
1271,Phrase
1272,gibt
1273,du
1274,Lage
1275,les
1276,Die
1277,Betrieb
1278,erklärt
1279,durchführen
1280,Strom
1281,Farbe
1282,Mantel
1283,Wärme
1284,entsprechen
1285,Gewerkschaft
1286,dick
1287,Beine
1288,Schicksal
1289,vergessen
1290,erscheint
1291,Seiten
1292,berücksichtigen.
1293,
1294,Feinde
1295,insbesondere
1296,Urteil
1297,lächelte
1298,Ausland
1299,Ich habe
1300,Sammlung
1301,besessen
1302,Adresse
1303,Regel
1304,des
1305,
1306,Straßen
1307,Nationen
1308,
1309,deutsch
1310,Tal
1311,Tugend
1312,Tiere
1313,zoöl
1314,10
1315,Zweigstelle
1316,
1317,
1318,Schultern
1319,Angelegenheiten
1320,aufgehängt
1321,wachsen
1322,britisch
1323,beweisen
1324,Kammer
1325,
1326,Spirituosen
1327,ir
1328,
1329,männlich
1330,Typ
1331,Lärm
1332,Finger
1333,
1334,niemand
1335,dünn
1336,hören.
1337,
1338,Plan
1339,Schande
1340,Geschmack
1341,
1342,groß
1343,Weisheit
1344,Stücke
1345,
1346,eindeutig
1347,Vertrauen
1348,verursacht
1349,
1350,verrückt
1351,Autor
1352,Sterne
1353,Herzen
1354,Kräfte
1355,Bibliothek
1356,Bereich
1357,
1358,gesprochen
1359,Maßnahme
1360,normal
1361,zusätzlich
1362,lebendig
1363,Fragen
1364,Barmherzigkeit
1365,gewartet
1366,Ihr
1367,spitz
1368,rein
1369,
1370,prinzessin
1371,religiös
1372,gewachsen
1373,se
1374,ansonsten
1375,wütend
1376,Titel
1377,
1378,Masse
1379,Minister
1380,gesucht
1381,Unterschied
1382,innerhalb
1383,Rauch
1384,Fortschritte
1385,
1386,ay
1387,Vorteil
1388,Er ist
1389,Könige
1390,Es gibt
1391,Bühne
1392,zahlreiche
1393,.
1394,Bahnhof
1395,ausreichend
1396,Prozess
1397,aktuell
1398,singen
1399,Gefängnis
1400,doppelt
1401,Mann
1402,tapfer
1403,schwach
1404,fertig
1405,
1406,Rand
1407,Wagen
1408,Zähne
1409,
1410,leer
1411,produzieren
1412,
1413,See
1414,Herrin
1415,Komfort
1416,Größe
1417,
1418,Glocke
1419,erwarten
1420,aktiv
1421,wachsend
1422,charles
1423,Schloss
1424,göttlich
1425,gezwungen
1426,an'
1427,laut
1428,gepostet
1429,beschlossen
1430,Offizier
1431,Inseln
1432,Krone
1433,obere
1434,juli
1435,gebogen
1436,Hören
1437,Dollar
1438,Obst
1439,direkt
1440,erhalten
1441,Methode
1442,Gehirn
1443,erinnerte
1444,Antrag
1445,fett
1446,engagiert
1447,verhindern.
1448,Bedingungen
1449,
1450,Gefühle
1451,ausgezeichnet
1452,zivil
1453,Mode
1454,Eröffnung
1455,Umfang
1456,Professor
1457,hier
1458,Bildung
1459,
1460,Beweise
1461,
1462,Bestellungen
1463,Imperium
1464,gegründet
1465,Geschwindigkeit
1466,Praxis
1467,
1468,Haut
1469,siehe
1470,gespielt
1471,beschrieben
1472,wählen.
1473,Erklärung
1474,unbekannt
1475,Städte
1476,
1477,erklärt
1478,Quartal
1479,paul
1480,besetzt
1481,geworfen
1482,auf
1483,
1484,berührt
1485,Gewässer
1486,gekleidet
1487,Milton
1488,Rechnung
1489,Form
1490,Staub
1491,ängstlich
1492,Willkommen
1493,hügel
1494,Ersatz
1495,entfernte
1496,Polizei
1497,
1498,wird nicht
1499,erstellt
1500,interessant
1501,zerstören
1502,
1503,er
1504,erraten
1505,Freude
1506,verpflichtet
1507,besiedelt
1508,Kräfte
1509,Offiziere
1510,james
1511,Dienstmädchen
1512,Nase
1513,langsam
1514,gesammelt
1515,moralisch
1516,sorgfältig
1517,Fenster
1518,verteilt
1519,lose
1520,Begleiter
1521,Flug
1522,
1523,michael
1524,blind
1525,
1526,richard
1527,Griechisch
1528,gearbeitet
1529,sehr
1530,Material
1531,ritt
1532,Salz
1533,
1534,Punkte
1535,erzählen
1536,Soldat
1537,Steine
1538,
1539,Terror
1540,westlich
1541,Reichtum
1542,müde
1543,
1544,Schiff
1545,Gewohnheit
1546,Parteien
1547,Begriff
1548,Körper
1549,
1550,Auto
1551,Compliance
1552,angehoben
1553,Ergebnisse
1554,offensichtlich
1555,finden.
1556,express
1557,beabsichtigt
1558,verletzt
1559,Verbrechen
1560,insgesamt
1561,flüsterte
1562,
1563,leicht
1564,bemerkte
1565,versprochen
1566,erwähnt
1567,Bedeutung
1568,alle
1569,platzen
1570,Preis
1571,sofort
1572,Auftraggeber
1573,leistungsstarke
1574,Anlage
1575,Veranstaltungen
1576,Brücke
1577,leise
1578,Sie sind
1579,akzeptieren
1580,flink
1581,höchste
1582,basiert
1583,wirklich
1584,Tee
1585,inklusive
1586,Bericht
1587,fähig
1588,
1589,
1590,unterrichtet
1591,Türen
1592,
1593,Pfund
1594,Computer
1595,Wälder
1596,oe
1597,Mitglied
1598,trug
1599,Bohrung
1600,fangen
1601,nackt
1602,Tempel
1603,streiken
1604,Kummer
1605,Paar
1606,Majestät
1607,Anfahrt
1608,siehe
1609,angreifen
1610,natürlich
1611,loben
1612,Papiere
1613,di
1614,Datei
1615,Produktion
1616,Schäden
1617,gefährlich
1618,vorstellen
1619,zugehört
1620,täglich
1621,betrachtet
1622,http
1623,führend
1624,
1625,Vieh
1626,Fakten
1627,Truppen
1628,Website
1629,anne
1630,mit
1631,etext
1632,Freiheit
1633,ausgezeichnet
1634,Kappe
1635,Standort
1636,Fahrt
1637,bestellt
1638,
1639,Artikel
1640,grob
1641,Sturm
1642,Frühstück
1643,Uhr
1644,
1645,Waren
1646,zufrieden
1647,Kreis
1648,erweiterte
1649,Inhalt
1650,
1651,gespeichert
1652,Blume
1653,lachend
1654,präsentiert
1655,Anteil
1656,ehemals
1657,Betrag
1658,
1659,Bogen
1660,bemerkenswert
1661,juni
1662,berühmt
1663,bemerkt
1664,Engel
1665,
1666,
1667,gescheitert
1668,gegen
1669,
1670,
1671,Anfrage
1672,
1673,Stern
1674,gut aussehend
1675,damit
1676,heilige
1677,erklären
1678,
1679,beliebt
1680,brennend
1681,kaufen
1682,
1683,
1684,Fleisch
1685,angetrieben
1686,
1687,Geschichte
1688,Dienstleistungen
1689,Hölle
1690,sicher
1691,Ausschreibung
1692,intellektuell
1693,vertraut
1694,Schwache
1695,ernannt
1696,Höhe
1697,Regeln
1698,Rang
1699,Herkunft
1700,zugelassen
1701,bleibt
1702,hassen
1703,langweilig
1704,wenn
1705,beschäftigt
1706,siehe
1707,Dennoch
1708,tragen
1709,Stoff
1710,Kontrolle
1711,15
1712,möglicherweise
1713,Presse
1714,Notwendigkeit
1715,böse
1716,Zimmer
1717,entdecken
1718,Entwicklung
1719,leiden
1720,Wut
1721,sagt
1722,abgenutzt
1723,qui
1724,Zweigstellen
1725,Basis
1726,Störung
1727,Oberst
1728,Verzeihung
1729,vorgeschlagen
1730,Knie
1731,online
1732,chem
1733,Cousine
1734,Dutzend
1735,Felder
1736,Sorte
1737,akin
1738,erlitten
1739,Ausrüstung
1740,Stil
1741,ha
1742,Universität
1743,Kugel
1744,Shop
1745,Abdeckung
1746,Aktie
1747,Theorie
1748,Status
1749,april
1750,mochte
1751,Anzug
1752,lo
1753,Sklave
1754,Beratung
1755,schlafend
1756,dauerhaft
1757,mit
1758,vorbereiten
1759,hen
1760,müde
1761,republik
1762,fallen lassen
1763,gekreuzt
1764,abgerufen
1765,Dach
1766,ausgedrückt
1767,ruhig
1768,august
1769,bewusst
1770,Anforderungen
1771,Köpfe
1772,Verfassung
1773,beigefügt
1774,vollständig
1775,Näher
1776,11
1777,bitter
1778,häufig
1779,offenbar
1780,hinzufügen.
1781,sokrates
1782,Zahlen
1783,Saison
1784,sofort
1785,Italien
1786,Milliarden
1787,befohlen
1788,außerordentlich
1789,aufrufen
1790,Gebühren
1791,12
1792,Kredit
1793,sitzend
1794,Ausgaben
1795,lächelnd
1796,.
1797,überall
1798,Blick
1799,Gastgeber
1800,Nachweis
1801,Band
1802,eigentlich
1803,will
1804,Dichter
1805,Aufgabe
1806,ebenso
1807,weiter
1808,schön
1809,gelungen
1810,wirtschaftlich
1811,europäisch
1812,chaucer
1813,geflohen
1814,Tasse
1815,schlechteste
1816,fett
1817,Schafe
1818,größer
1819,Wolke
1820,erhöht
1821,Bereitstellung von
1822,Konstante
1823,Vorschuss
1824,Hotel
1825,versteckt
1826,eingestellt
1827,Franken
1828,Abendbrot
1829,Spielen
1830,aufgetreten
1831,Erstellung von
1832,Bischof
1833,ausblenden
1834,Sterben
1835,gesegnet
1836,januar
1837,Interessiert
1838,Firma
1839,gedruckt
1840,verpflichtet
1841,begraben
1842,Kampf
1843,grau
1844,wird
1845,Nachricht
1846,Zuneigung
1847,dezember
1848,Prinzip
1849,Verständnis
1850,geteilt
1851,Abwesenheit
1852,abgelehnt
1853,hofft
1854,Pflanzen
1855,Treppe
1856,treu
1857,Kehle
1858,Finger
1859,jane
1860,Papst
1861,Thron
1862,Austausch
1863,benötigt
1864,Serie
1865,Seelen
1866,fuhr
1867,Halterung
1868,regelmäßig
1869,verfahren
1870,vorherige
1871,beendet
1872,Wüste
1873,Leitfaden
1874,vollständig
1875,Summe
1876,Anbetung
1877,Fliegen
1878,tanzen
1879,Gouverneur
1880,Wolken
1881,Liste
1882,fünfzehn
1883,steht
1884,Einwohner
1885,Sieg
1886,verkauft
1887,Phantasie
1888,schnell
1889,gefordert
1890,unschuldig
1891,gesamte
1892,Auswahl
1893,Biest
1894,Anmerkungen
1895,beschäftigt
1896,Mais
1897,Felsen
1898,Rechte
1899,klingt
1900,zentral
1901,genial
1902,Waffe
1903,Sicherheit
1904,Alter
1905,ägypten
1906,Gebet
1907,Stimmen
1908,Loch
1909,Verzweiflung
1910,Relief
1911,schützen
1912,Unterstützung
1913,liebevoll
1914,Anzeige
1915,Gesang
1916,beigetreten
1917,bereit
1918,woher
1919,begonnen
1920,Wunde
1921,allmählich
1922,Außerdem
1923,Instrument
1924,Paar
1925,Schlüssel
1926,Kuss
1927,Gattung
1928,Momente
1929,Würde
1930,bekämpft
1931,Träume
1932,Wirtschaft
1933,Gewissen
1934,gestern
1935,Vision
1936,november
1937,Stick
1938,gezogen
1939,drucken
1940,Temperament
1941,oktober
1942,Themen
1943,Bezahlen
1944,Schrecklich
1945,Zufriedenheit
1946,braucht
1947,dimmen
1948,Indianer
1949,Zeuge
1950,überlegen
1951,13
1952,Madame
1953,vierte
1954,gekauft
1955,jeder
1956,mit
1957,zugelassen
1958,Abdruck
1959,Schaden
1960,gewinnen
1961,14
1962,Problem
1963,bewaffnet
1964,für
1965,opfern
1966,wertvoll
1967,leicht
1968,Glaube
1969,Affäre
1970,Kopieren von
1971,Nachfrage
1972,Gewünscht
1973,ach
1974,con
1975,jesus
1976,Geschichten
1977,Küche
1978,E-Mail
1979,Links
1980,thomas
1981,früher
1982,enthalten
1983,Baby
1984,Merkmale
1985,Flagge
1986,Umgangsformen
1987,Kampf gegen
1988,aufgelöst
1989,erkundigt sich
1990,Liebhaber
1991,erleichtern
1992,Hunde
1993,Format
1994,september
1995,Interessen
1996,bitte
1997,syn
1998,scheitern
1999,entkommen
2000,spenden
2001,Energie
2002,aktuell
2003,Wilde
2004,Brüder
2005,nl
2006,getrennt
2007,billy
2008,Netz
2009,Markt
2010,geliefert
2011,Ländereien
2012,Stipendiaten
2013,Eingang
2014,davon
2015,Abfall
2016,sanft
2017,betteln
2018,Farbe
2019,Wut
2020,Montage
2021,ausgewählt
2022,Neugierde
2023,verbunden
2024,verstreut
2025,Versuch
2026,sehr
2027,erwähnen.
2028,erhöhen.
2029,Hof
2030,Entschuldigung
2031,furchtbar
2032,Leiden
2033,teilweise
2034,zarte
2035,entstanden
2036,unfähig
2037,absolut
2038,freundlich
